id,username,name,sexo,endereço,email,aniversario
579363,ynunes,Augusto Ferreira,H,Trecho Leandro Santos  34 Vila Rica 94892411 Ribeiro da Prata / AM,ana-julia59@ig.com.br,1934-05-04
739543,kamillyvieira,Helena Viana,M,Trevo Nogueira  49 Jardim Dos Comerciarios 32094711 da Costa / AL,vianamaria-julia@uol.com.br,2000-07-17
75467,araujofelipe,Srta. Amanda Teixeira,M,Condomínio de Novaes  6 Vila De Sá 09032173 Aragão / PI,qcastro@gmail.com,1936-07-25
233935,helenaalves,Dr. João Pedro Fernandes,H,Loteamento Barbosa  442 Vila Santo Antônio 59459-924 Peixoto de Minas / AC,mariamelo@hotmail.com,1939-02-04
42638,alexandre30,Juliana Peixoto,M,Rua de Castro  41 Buritis 42176-104 Correia de Fernandes / BA,enzo24@gmail.com,1912-04-07
351358,nicolascorreia,João Vitor Vieira,H,Avenida Lima  28 Jardim Vitoria 54611-877 Mendes do Campo / PR,salesana-clara@gmail.com,1947-08-07
739868,kaique03,Luna Novaes,M,Quadra Nascimento Marieta 1ª Seção 19729668 Martins de Sales / PR,evelyndas-neves@gmail.com,1952-10-24
350250,yrocha,Gustavo Teixeira,H,Fazenda de Aragão  3 Jardim Vitoria 51744-666 da Cruz / RS,luccagomes@ig.com.br,1999-06-19
526818,goncalvesvalentina,Pedro Lucas Mendes,H,Viela Felipe Silveira  70 Paraíso 37510-074 Silveira / RO,lorenzocarvalho@ig.com.br,1992-08-01
496364,danilo92,André Dias,H,Viaduto Costa Vila Primeiro De Maio 45093227 Rocha / MS,francisco03@yahoo.com.br,1952-02-08
721630,lda-conceicao,Fernanda Vieira,M,Morro de Cardoso  67 Vila Cemig 66065735 Ribeiro de Minas / CE,freitasenzo-gabriel@bol.com.br,1988-12-03
434981,lorena01,Marcelo Nunes,H,Aeroporto Fernandes  78 Paraíso 45439101 Lima da Prata / MT,souzaluiz-felipe@hotmail.com,1915-10-11
762419,jjesus,Pietro Caldeira,H,Favela de Araújo Maria Helena 60811-605 Correia / RN,fogacaluiza@ig.com.br,1946-04-28
45935,da-matathomas,Alícia Dias,M,Viela de da Luz  59 Vila Aeroporto 84567088 Ramos do Amparo / GO,vda-rosa@yahoo.com.br,1912-04-04
80890,pedro-henrique86,Eduardo Fernandes,H,Feira Bryan Lima  810 Santa Inês 06777-111 Castro / TO,aliciada-rosa@uol.com.br,1989-11-27
613868,hbarros,Esther Almeida,M,Condomínio Nina Moraes  58 Estrela Do Oriente 18453574 Cunha / SE,vieiraclarice@yahoo.com.br,1956-06-16
658327,ferreiraguilherme,Dr. Marcelo Lopes,H,Largo Gonçalves  40 Ápia 35734-524 Moraes / RJ,da-costathales@gmail.com,1973-05-08
520455,laissilva,Alexandre Santos,H,Feira João Gabriel Farias Alto Das Antenas 82169197 Barbosa / GO,nina60@ig.com.br,1911-06-15
423266,maria-julia94,Sarah Azevedo,M,Rua de Mendes  44 Canadá 39852-250 da Costa / MS,nathan45@uol.com.br,1993-01-17
521131,esther88,Stephany Freitas,M,Praça da Conceição  9 Conjunto Califórnia Ii 57086-930 Souza da Serra / RO,lorenamoraes@ig.com.br,2001-10-16
949241,rezendethales,Leandro Nogueira,H,Ladeira de Martins  7 Pousada Santo Antonio 01955013 Viana / PR,lopesbenjamin@yahoo.com.br,1959-12-13
873998,lunasilva,Davi Lucas Azevedo,H,Campo João Pedro Ramos  937 Conjunto Celso Machado 27808-185 Cardoso / AM,kmoraes@uol.com.br,1952-03-19
100367,yagocampos,Laís Ferreira,M,Alameda Monteiro Alto Caiçaras 69057877 Barros / PI,bferreira@ig.com.br,1976-09-19
349095,vitoralves,Letícia Moreira,M,Viela Nogueira  12 Alto Dos Pinheiros 80001-992 Nascimento / SE,peixotoana-julia@bol.com.br,1999-12-07
374993,yuri18,Guilherme Barbosa,H,Passarela de Araújo  76 Nova Vista 79722576 Gomes / SP,mouraryan@hotmail.com,1992-01-24
536395,joaquimda-costa,Maria Cecília Vieira,M,Alameda Souza  67 São Luiz 51642-585 Nascimento / SC,lucas65@uol.com.br,1970-08-26
873631,elisaoliveira,Bárbara Araújo,M,Viela de Nunes  30 Sion 27906-196 Dias do Galho / PB,rochalavinia@gmail.com,1943-01-29
774861,azevedoalexia,Maria Eduarda da Paz,M,Colônia de Ribeiro  255 Vila Jardim São José 33744307 Silva Alegre / AP,limaisabella@uol.com.br,1937-04-21
760668,nogueirayago,Luna Dias,M,Travessa Lavínia das Neves  58 Santa Branca 58017563 Barros Verde / SP,oliveiradiego@yahoo.com.br,1933-10-09
533721,benicio95,Sophie Barbosa,M,Viela Ana Vitória Cunha  581 Calafate 40292639 da Paz das Pedras / PE,cavalcantimaria-vitoria@uol.com.br,1923-06-18
